"instant_m","pinks","pink_abundance","releases","basin","region","stock","life_hist","origin","year_code","year","stock_lab","npgo","sog_seals","ps_seals","juan_seals","coast_seals","salish_herring","max_temp","precip","sst","sst_arc","salish_seals","releases_x_pinks","releases_x_pink_ab","chill_code"
7.01311579463996,"0",0,0.60575582594236,"COAST","10","32","0","H","32",2003,"Sooes",1.48,42822.23217,14902.38449,2681.117738,8.76851936289486,12.0267426096722,13.825,260.2,0.365652173913045,0.495117412,11.0088393197806,0,0,"0"
7.41858090274813,"1",6.2949465692458,0.593174618241516,"COAST","10","32","0","H","33",2004,"Sooes",0.44,41696.14139,14955.0031,2690.584457,8.78892901958814,11.8118886655399,15.9826087,134.7,0.655652173913044,0.890611382,10.9910680297028,0.593174618241516,3.73400252806312,"0"
9.21034037197618,"0",0,0.256182161066134,"COAST","10","32","0","H","34",2005,"Sooes",-1.55,40625.06847,14994.0838,2697.615545,8.80780316981503,11.6446201719198,15.56195652,272.2,0.775652173913045,0.753938463,10.9736449435932,0,0,"0"
5.13280292807046,"1",6.58773784429118,0.0297930828395436,"COAST","10","32","0","H","35",2006,"Sooes",-0.81,39581.50882,15019.83739,2702.248923,8.82525733634165,11.1276011622637,15.08804348,166.9,0.555652173913044,0.11486941,10.9561186430208,0.0297930828395436,0.196269019320164,"0"
6.81244509917781,"0",0,0.354669113135246,"COAST","10","32","0","H","36",2007,"Sooes",-0.37,38564.7557,15032.404,2704.509808,8.84139835073562,10.8356122627128,15.29782609,167.3,0.145652173913044,0.064572051,10.9384794674714,0,0,"0"
4.02295456613543,"1",6.47902200447699,-0.117660923980874,"COAST","10","32","0","H","37",2008,"Sooes",1.02,37552.32189,15031.8524,2704.410569,8.85632500679186,10.7372875828432,13.52608696,163.9,-0.194347826086956,-0.487957437,10.9203217441229,-0.117660923980874,-0.762327715539176,"0"
4.90627527877201,"0",0,0.00189158810776492,"COAST","10","32","0","H","38",2009,"Sooes",0.65,37914.58374,15018.17957,2701.950662,8.87012866630768,11.1140287377401,13.99347826,282.8,0.295652173913044,0.142139099,10.9265626374264,0,0,"0"
5.49676830527187,"1",7.11010461966707,0.0131856959212538,"COAST","10","32","0","H","39",2010,"Sooes",1.85,38258.13196,14991.31071,2697.116633,8.88289381689129,10.975310866114,14.04130435,256.2,0.115652173913045,-0.55773872,10.9321522159242,0.0131856959212538,0.0937516774832321,"0"
5.03595310208055,"0",0,0.132838647532742,"COAST","10","32","0","H","40",2011,"Sooes",0.69,38604.7931,14951.09971,2689.88219,8.8946985901574,11.5099811346808,12.49347826,354.8,-0.0843478260869563,-0.53660365,10.9374862061346,0,0,"0"
3.9528449999484,"1",6.57779790563847,0.20082694479052,"COAST","10","32","0","H","41",2012,"Sooes",0.94,38954.59538,14897.32987,2680.208351,8.90561523934203,11.0211341996012,14.02065217,303.3,-0.314347826086957,-0.813698416,10.9425644917662,0.20082694479052,1.32099905683885,"0"
4.14143616975595,"0",0,0.0122897715979613,"COAST","10","32","0","H","42",2013,"Sooes",1.02,39307.56726,14025.9454,3365.999868,8.91571058206714,11.4188894730436,15.54021739,279.8,-0.454347826086956,0.408843698,10.9455208922891,0,0,"0"
2.44876760317213,"0",0,-1.92939054893208,"COAST","3","33","0","H","2",1973,"Spring Creek Tule",-0.21,3545.885556,2752.227867,495.158809,6.81332664991775,10.3478207475297,14.31413043,116.4,-0.964347826086955,-0.774937296,8.82368802376001,0,0,"0"
3.28876195233237,"1",5.59469328862035,-2.00290613801268,"COAST","3","33","0","H","3",1974,"Spring Creek Tule",-0.47,3865.870917,3212.173517,577.9085488,6.97996217595128,10.9065796393468,14.07173913,243.9,-0.694347826086956,-0.42109394,8.94323879189136,-2.00290613801268,-11.205645528076,"0"
2.79034544382904,"0",0,-2.00515879903268,"COAST","3","33","0","H","4",1975,"Spring Creek Tule",0.78,4388.140397,3699.149765,665.5214177,7.13399007387589,11.3252697065856,13.25543478,164.8,-0.834347826086956,-1.137565823,9.07713025113264,0,0,"0"
3.64199586821509,"1",5.85792318363375,-2.02463036587208,"COAST","3","33","0","H","5",1976,"Spring Creek Tule",1.31,4978.87752,4208.138562,757.0946081,7.2748467761646,11.2974772286234,14,152.4,-0.984347826086957,-0.812862786,9.20473576447413,-2.02463036587208,-11.8601291585309,"0"
3.66907682681776,"0",0,-1.59701027842543,"COAST","3","33","0","H","6",1977,"Spring Creek Tule",1.65,5567.262898,4733.879071,851.6816323,7.41657492832608,11.4911807530479,14.90217391,204.7,-0.724347826086955,0.0072301,9.31944798261374,0,0,"0"
3.48349262438899,"1",6.33972956105464,-0.461407868202755,"COAST","3","33","0","H","7",1978,"Spring Creek Tule",1.02,6226.638486,4732.29,638.0100001,7.55577358077981,11.6804886507886,14.90978261,213.7,-0.324347826086957,-0.164092307,9.35849641864842,-0.461407868202755,-2.92520110174821,"0"
3.39620984015112,"0",0,-1.24005246612615,"COAST","3","33","0","H","8",1979,"Spring Creek Tule",-0.46,6964.109212,5840.982457,1050.862812,7.68496280936442,11.2931263149064,16.13478261,82.5,-0.334347826086956,0.21029023,9.53647034564959,0,0,"0"
3.22137895508632,"1",6.02981835277861,-1.03849642213789,"COAST","3","33","0","H","9",1980,"Spring Creek Tule",-1.59,7788.924509,6417.520955,1154.589004,7.82710931454695,11.5894512262006,14.11630435,160.3,-0.454347826086956,-0.256154879,9.63958935261096,-1.03849642213789,-6.26194478550196,"0"
5.18498868124103,"0",0,-0.745119473434265,"COAST","3","33","0","H","10",1981,"Spring Creek Tule",-0.67,8711.429297,6996.377827,1258.732299,7.85002949722755,11.1707731270738,14.73586957,131,-0.574347826086957,0.282842244,9.73899841421566,0,0,"0"
4.54690127786412,"1",6.45923895384189,-0.597748804016626,"COAST","3","33","0","H","11",1982,"Spring Creek Tule",-0.56,9739.265207,7573.694523,1362.598499,8.04171645745993,11.6674046622583,13.85108696,163.4,0.385652173913044,-0.47813039,9.83497090133472,-0.597748804016626,-3.86100235951659,"0"
3.34670919637809,"0",0,-0.247480188349658,"COAST","3","33","0","H","12",1983,"Spring Creek Tule",0.5,11164.34634,7594.447944,1350.990001,8.19126081453495,11.3513120077616,15.85869565,177.2,0.855652173913043,0.109153091,9.90896175595631,0,0,"0"
5.54677872584654,"1",6.46699722313662,-0.256478171191587,"COAST","3","33","0","H","13",1984,"Spring Creek Tule",0.3,12905.21523,9464.157254,1568.250001,8.1828969529928,10.6856295584176,14.11304348,257.9,0.065652173913044,0.151044351,10.0832066627768,-0.256478171191587,-1.65864362089115,"0"
6.72543372218818,"0",0,0.170832282843607,"COAST","3","33","0","H","14",1985,"Spring Creek Tule",0.16,14330.13492,8957.328203,1970.640001,8.2568305229383,10.6482067386401,13.94456522,120,0.175652173913043,-0.218204901,10.136902299023,0,0,"0"
5.5727542122498,"1",5.93595480387523,0.199868848119123,"COAST","3","33","0","H","15",1986,"Spring Creek Tule",-0.9,15991.89543,9045.868491,1298.97,7.9146798192784,10.9579912015782,14.75978261,146.8,0.155652173913044,0.053768348,10.1787199706842,0.199868848119123,1.18641244913772,"0"
4.43121687886465,"0",0,0.879899409158515,"COAST","3","33","0","H","16",1987,"Spring Creek Tule",0.58,19232.75625,9608.363973,1554.48,8.4974230433886,10.9343383541094,16.2923913,267.3,0.185652173913043,-0.276376541,10.3220531474134,0,0,"0"
4.72170400224404,"1",6.26995635156381,0.58814527212464,"COAST","3","33","0","H","17",1988,"Spring Creek Tule",0.96,21605.2007,11765.406,2322.54,8.47901308195908,10.5447359923049,14.6673913,253.3,-0.0243478260869558,-0.220489463,10.4827139801516,0.58814527212464,3.68764518460011,"0"
4.26158048159801,"0",0,0.857366562826353,"COAST","3","33","0","H","18",1989,"Spring Creek Tule",0.97,24876.63734,11663.32035,2145.060001,8.63239690347567,11.2853973153382,15.225,289.3,0.105652173913043,0.174606448,10.5632076642925,0,0,"0"
4.21312809821207,"1",6.16103374739142,1.37884346317165,"COAST","3","33","0","H","19",1990,"Spring Creek Tule",0.21,28718.0137,11781.95705,1747.26,8.57999312590002,11.3216196705048,15.19891304,180.6,0.705652173913045,0.357316227,10.6512940862585,1.37884346317165,8.49510110897062,"0"
5.59942245933196,"0",0,0.831073423276085,"COAST","3","33","0","H","20",1991,"Spring Creek Tule",-0.62,27530.09234,13439.52,1894.14,8.67640987432453,11.0152957246316,13.69347826,319.9,-0.134347826086955,-0.294367106,10.6657818139588,0,0,"0"
5.47267075369281,"1",6.63664819779845,0.79854216732125,"COAST","3","33","0","H","21",1992,"Spring Creek Tule",-0.26,26357.67756,13799.07,2417.4,8.76596238332942,11.4646171846761,17.82608696,150.4,0.245652173913044,0.596018105,10.6590024832518,0.79854216732125,5.29964343561864,"0"
5.44914025628262,"0",0,1.25472714168211,"COAST","3","33","0","H","22",1993,"Spring Creek Tule",-2.23,32905.28954,15938.01,3295.620001,8.59827904731374,11.5669874230688,15.86195652,310.2,0.0956521739130434,0.513727288,10.8616669650058,0,0,"0"
5.18498868124103,"1",6.24552022448839,1.36082368680129,"COAST","3","33","0","H","23",1994,"Spring Creek Tule",-1.9,41049.55851,15114.11807,2276.639999,8.58721353431361,11.3201534923014,16.36630435,174.9,0.385652173913044,0.318088416,10.9757612830129,1.36082368680129,8.49905185788031,"0"
5.74460446917646,"0",0,1.24030636947482,"COAST","3","33","0","H","24",1995,"Spring Creek Tule",-1.37,41095.4792,16981.7181,3489.929999,8.91550074537209,11.2949311336387,16.59565217,176.1,0.555652173913044,0.135559121,11.0278833593375,0,0,"0"
6.50229017087397,"1",5.9109536257291,0.802025614065274,"COAST","3","33","0","H","25",1996,"Spring Creek Tule",-0.95,41373.41857,18257.49,3041.639999,8.47213724636392,11.3420659670797,14.39565217,241.6,0.125652173913045,0.331541892,11.045678808883,0.802025614065274,4.74073621138674,"0"
4.45675018086982,"0",0,1.24351448153438,"COAST","3","33","0","H","26",1997,"Spring Creek Tule",-1.12,36548.51525,15795.72,3494.520001,8.77309508134169,11.1398162145681,14.63369565,364.6,0.715652173913044,1.241186385,10.9302234458375,0,0,"0"
